timestamp,temp,wind_speed_100m,wind_direction_100m
2023-01-01 00:00:00+00:00,10.2,1.49,250.0
2023-01-01 01:00:00+00:00,10.1,1.14,308.0
2023-01-01 02:00:00+00:00,9.9,0.5,360.0
2023-01-01 03:00:00+00:00,9.8,0.92,103.0
2023-01-01 04:00:00+00:00,9.7,1.77,137.0
2023-01-01 05:00:00+00:00,9.8,2.33,155.0
2023-01-01 06:00:00+00:00,9.7,2.56,149.0
2023-01-01 07:00:00+00:00,9.7,2.06,151.0
2023-01-01 08:00:00+00:00,10.2,1.24,166.0
2023-01-01 09:00:00+00:00,10.9,1.02,169.0
2023-01-01 10:00:00+00:00,11.6,1.66,155.0
2023-01-01 11:00:00+00:00,11.9,1.94,168.0
2023-01-01 12:00:00+00:00,11.7,2.3,178.0
2023-01-01 13:00:00+00:00,11.9,2.57,167.0
2023-01-01 14:00:00+00:00,11.4,2.3,180.0
2023-01-01 15:00:00+00:00,11.0,1.5,176.0
2023-01-01 16:00:00+00:00,9.9,1.08,158.0
2023-01-01 17:00:00+00:00,10.1,1.58,145.0
2023-01-01 18:00:00+00:00,9.6,2.33,155.0
2023-01-01 19:00:00+00:00,9.4,2.72,163.0
2023-01-01 20:00:00+00:00,9.4,2.24,170.0
2023-01-01 21:00:00+00:00,9.4,1.84,167.0
2023-01-01 22:00:00+00:00,9.6,1.53,169.0
2023-01-01 23:00:00+00:00,9.6,1.24,166.0
2023-01-02 00:00:00+00:00,10.1,1.28,231.0
2023-01-02 01:00:00+00:00,10.0,1.33,257.0
2023-01-02 02:00:00+00:00,9.9,0.8,270.0
2023-01-02 03:00:00+00:00,9.6,0.28,315.0
2023-01-02 04:00:00+00:00,9.6,0.51,101.0
2023-01-02 05:00:00+00:00,9.6,0.86,144.0
2023-01-02 06:00:00+00:00,9.6,1.3,184.0
2023-01-02 07:00:00+00:00,9.6,1.78,218.0
2023-01-02 08:00:00+00:00,9.9,2.08,235.0
2023-01-02 09:00:00+00:00,10.1,1.84,229.0
2023-01-02 10:00:00+00:00,10.2,1.84,225.0
2023-01-02 11:00:00+00:00,10.4,1.77,227.0
2023-01-02 12:00:00+00:00,11.4,2.83,212.0
2023-01-02 13:00:00+00:00,11.2,3.42,218.0
2023-01-02 14:00:00+00:00,11.1,3.0,217.0
2023-01-02 15:00:00+00:00,10.6,2.34,220.0
2023-01-02 16:00:00+00:00,10.1,1.35,222.0
2023-01-02 17:00:00+00:00,10.2,0.82,256.0
2023-01-02 18:00:00+00:00,10.1,0.95,288.0
2023-01-02 19:00:00+00:00,9.9,0.86,306.0
2023-01-02 20:00:00+00:00,9.6,1.0,307.0
2023-01-02 21:00:00+00:00,9.5,1.39,300.0
2023-01-02 22:00:00+00:00,9.4,1.0,307.0
2023-01-02 23:00:00+00:00,9.4,0.5,323.0
2023-01-03 00:00:00+00:00,10.1,1.48,332.0
2023-01-03 01:00:00+00:00,10.1,0.78,310.0
2023-01-03 02:00:00+00:00,10.1,0.1,180.0
